timestamp,threat_type,source_ip,source_mac,details
2025-10-29 07:52:20.983033,DNS Spoofing,Unknown,Switched to 1.1.1.1,"IPs detected: [None, b'mobile.events.data.trafficmanager.net.']"
2025-10-29 07:52:26.523486,DNS Spoofing,Unknown,Switched to 1.1.1.1,"IPs detected: [None, b'mobile.events.data.trafficmanager.net.']"
2025-10-29 07:52:28.551743,DNS Spoofing,Unknown,Switched to 1.1.1.1,"IPs detected: [None, b'mobile.events.data.trafficmanager.net.']"
2025-10-29 07:52:36.772368,DNS Spoofing,Unknown,Switched to 1.1.1.1,"IPs detected: [None, b'mobile.events.data.trafficmanager.net.']"
2025-10-29 07:53:03.934476,DNS Spoofing,Unknown,Switched to 1.1.1.1,"IPs detected: [None, b'mobile.events.data.trafficmanager.net.']"
2025-10-29 07:53:06.276390,DNS Spoofing,Unknown,Switched to 1.1.1.1,"IPs detected: [None, b'mmx-ds.cdn.whatsapp.net.']"
2025-10-29 07:53:10.059116,DNS Spoofing,Unknown,Switched to 1.1.1.1,"IPs detected: [None, b'mmx-ds.cdn.whatsapp.net.']"
2025-10-29 07:53:16.991629,DNS Spoofing,Unknown,Switched to 1.1.1.1,"IPs detected: [None, b'mmx-ds.cdn.whatsapp.net.']"
2025-10-29 07:53:46.924320,DNS Spoofing,Unknown,Switched to 1.1.1.1,"IPs detected: [None, b'static.whatsapp.net.']"
2025-10-29 07:53:52.071389,DNS Spoofing,Unknown,Switched to 1.1.1.1,"IPs detected: [None, b'static.whatsapp.net.']"
2025-10-29 07:53:55.358932,DNS Spoofing,Unknown,Switched to 1.1.1.1,"IPs detected: [None, b'static.whatsapp.net.']"
2025-10-29 07:53:57.928464,DNS Spoofing,Unknown,Switched to 1.1.1.1,"IPs detected: [None, b'static.whatsapp.net.']"
2025-10-29 07:54:00.278323,DNS Spoofing,Unknown,Switched to 1.1.1.1,"IPs detected: [None, b'static.whatsapp.net.']"
2025-10-29 07:54:03.189824,DNS Spoofing,Unknown,Switched to 1.1.1.1,"IPs detected: [None, b'static.whatsapp.net.']"
2025-10-29 07:54:05.438107,DNS Spoofing,Unknown,Switched to 1.1.1.1,"IPs detected: [None, b'static.whatsapp.net.']"
2025-10-29 07:56:36.974067,DNS Spoofing,Unknown,Switched to 1.1.1.1,"IPs detected: [None, '34.107.243.93']"
2025-10-29 07:56:40.459788,DNS Spoofing,Unknown,Switched to 1.1.1.1,"IPs detected: [None, '34.107.243.93']"
